Наслов,Опис,Категорија,Автор,Издавач,Година,Страници,Цена
The Plea : His client is innocent. His wife is guilty.,"Your client is innocent. Your wife is guilty. Who would you fight for? * 'Quite simply, THE PLEA is one of the most purely entertaining books you'll read this year' John Connolly 'A gripping thriller' Ian Rankin * When David Child, a major client of a corrupt New York law firm, is arrested for murder, the FBI ask con artist-turned-lawyer Eddie Flynn to persuade him to testify against the firm. Eddie is not someone who is easily coerced, but when the FBI reveal that they have incriminating files on his wife, he knows he has no choice. But Eddie is convinced the man is innocent, despite overwhelming evidence to the contrary. With the FBI putting pressure on him to secure the deal, Eddie must find a way to prove his client's innocence. But the stakes are high - his wife is in danger. And not just from the FBI . . . * Praise for race-against-time legal thriller writer, Steve Cavanagh: 'A fantastic thriller writer' Mark Billingham 'Cavanagh stands head and shoulders above the competition, with his skilfully plotted, action-packed and big-hearted Eddie Flynn novels . . . highly intelligent, twist-laden and absolutely unputdownable' Eva Dolan, author of the critically acclaimed Tell No Tales 'What a thriller! Breathlessly brilliant and fiendishly clever' Miranda Dickinson 'A cleverly constructed legal thriller combined with a classic locked-room mystery. Eddie Flynn is fast becoming one of my favourite fictional heroes and Cavanagh one of my favourite thriller writers.' S.J.I. Holliday, author of Black Wood 'Raymond Chandler could have created Eddie Flynn. THE PLEA is Phillip Marlowe and Michael Connolly's Mickey Haller combined, with a bit of Jim Thompson's THE GRIFTERS thrown in. A superb read with a main character destined to be one of the most talked about in crime fiction.' Howard Linskey, author of The Search * If you like John Grisham, Lee Child and Michael Connelly, you will LOVE the gripping and twisty Eddie Flynn series: 1. The Defence 2. The Plea 3. The Liar 4. Thirteen * Each Eddie Flynn thriller can be read as a standalone or in series order *","Crime & Thriller , Thriller","Cavanagh, Steve",Orion Publishing Co,2017,400,699 Денари
Coffin Road : the Sunday Times Bestseller and BBC Radio 2 Book Club Pick,"Description **A SUNDAY TIMES TOP 5 BESTSELLER** **A BBC RADIO 2 BOOK CLUB PICK** **FROM THE AUTHOR OF THE BLACKHOUSE, CAST IRON AND I'LL KEEP YOU SAFE** MILLION-SELLING PETER MAY MIXES MURDER, MYSTERY and MEMORY . . . AND MARKS HIS RETURN TO THE OUTER HEBRIDES A man stands bewildered on a deserted beach on the Hebridean Isle of Harris. He cannot remember who he is. The only clue to his identity is a folded map of a path named the Coffin Road. He does not know where this search will take him. A detective from Lewis sits aboard a boat, filled with doubt. DS George Gunn knows that a bludgeoned corpse has been discovered on a remote rock twenty miles offshore. He does not know if he has what it takes to uncover how and why. A teenage girl lies in her Edinburgh bedroom, desperate to discover the truth about her scientist father's suicide. Two years on, Karen Fleming still cannot accept that he would wilfully abandon her. She does not yet know his secret. Coffin Road follows three perilous journeys towards one shocking truth - and the realisation that ignorance can kill us. 'A riveting, atmospheric read' The Times 'A chilling standalone mystery' Daily Record 'Clever, twisty . . . in the mode of Le Carre's The Constant Gardener' Guardian LOVE PETER MAY? Order his new thriller, A SILENT DEATH!","Crime & Thriller , Thriller","May, Peter",Quercus Publishing,2017,400,699 Денари
Fallout : A V.I. Warshawski Novel,"Description LEE CHILD says she's a genius. P.D. JAMES called her the most remarkable of today's suspense writers. STIEG LARSSON loved her work so much, he named her in his novels. And now SARA PARETSKY returns with the most extraordinary novel of her legendary career: FALLOUT. Before there was Lisbeth Salander, before there was Stephanie Plum, there was V.I. WARSHAWSKI. To her parents, she's Victoria Iphigenia. To her friends, she's Vic. But to clients seeking her talents as a detective, she's V.I. And her new case will lead her from her native Chicago... and into Kansas, on the trail of a vanished film student and a faded Hollywood star. Accompanied by her dog, V.I. tracks her quarry through a university town, across fields where missile silos once flourished -- and into a past riven by long-simmering racial tensions, a past that holds the key to the crimes of the present. But as the mysteries stack up, so does the body count. And in this, her toughest case, not even V.I. is safe. Exciting and provocative, fiercely intelligent and witty, FALLOUT is reading at its most enjoyable and powerful. --Lee Child","Crime & Thriller , Thriller","Paretsky, Sara",William Morrow & Company,2017,592,599 Денари
Fallout : A V.I. Warshawski Novel,"Description P.D. JAMES called her ""the most remarkable"" of today's suspense writers. STIEG LARSSON loved her work so much, he named her in his novels. And now SARA PARETSKY returns with the most extraordinary novel of her legendary career: FALLOUT. Before there was Lisbeth Salander, before there was Stephanie Plum, there was V.I. WARSHAWSKI. To her parents, she's Victoria Iphigenia. To her friends, she's Vic. But to clients seeking her talents as a detective, she's V.I. And her new case will lead her from her native Chicago... and into Kansas, on the trail of a vanished film student and a faded Hollywood star. Accompanied by her dog, V.I. tracks her quarry through a university town, across fields where missile silos once flourished -- and into a past riven by long-simmering racial tensions, a past that holds the key to the crimes of the present. But as the mysteries stack up, so does the body count. And in this, her toughest case, not even V.I. is safe. Exciting and provocative, fiercely intelligent and witty, FALLOUT is reading at its most enjoyable and powerful. ""","Crime & Thriller , Thriller","Paretsky, Sara",William Morrow & Company,2017,448,1.099 Денари
Her Every Fear,"Description 'I loved it! A brilliantly original premise, delivered with panache.' CLARE MACKINTOSH, Sunday Times bestselling author of I See You Following a brutal attack, Kate Priddy makes the uncharacteristically bold decision of moving from London to Boston - in an apartment swap with her cousin, Corbin Dell. But soon after her arrival Kate makes a shocking discovery: Corbin's next-door neighbour, Audrey Marshall, may have been murdered. Far from home and emotionally unstable, her imagination playing out her every fear, who can Kate trust? As tantalizing as Rear Window, Gone Girl, The Girl on the Train and The Talented Mr Ripley","Crime & Thriller , Thriller","Swanson, Peter",Faber & Faber,2017,432,799 Денари
The Lost Ones,"Description A dark, compulsively readable psychological suspense debut, the first in a new series featuring the brilliant, fearless, chaotic, and deeply flawed Nora Watts--a character as heartbreakingly troubled, emotionally complex, and irresistibly compelling as Stieg Larsson's Lisbeth Salander and Jo Nesbo's Harry Hole. It begins with a phone call that Nora Watts has dreaded for fifteen years--since the day she gave her newborn daughter up for adoption. Bonnie has vanished. The police consider her a chronic runaway and aren't looking, leaving her desperate adoptive parents to reach out to her birth mother as a last hope. A biracial product of the foster system, transient, homeless, scarred by a past filled with pain and violence, Nora knows intimately what happens to vulnerable girls on the streets. Caring despite herself, she sets out to find Bonnie with her only companion, her mutt Whisper, knowing she risks reopening wounds that have never really healed--and plunging into the darkness with little to protect her but her instincts and a freakish ability to detect truth from lies. The search uncovers a puzzling conspiracy that leads Nora on a harrowing journey of deception and violence, from the gloomy rain-soaked streets of Vancouver, to the icy white mountains of the Canadian interior, to the beautiful and dangerous island where she will face her most terrifying demon. All to save a girl she wishes had never been born.","Crime & Thriller , Thriller","Kamal, Sheena",William Morrow & Company,2017,352,1.099 Денари
xXx : Return of Xander Cage - The Official Movie Novelization,"XANDER CAGE IS BACK.After coming out of self-imposed exile, extreme athlete turned government operative Xander Cage must race against time to recover a sinister weapon known as Pandora's Box, a device that controls every military satellite in the world. Recruiting a new group of thrill-seeking cohorts, Xander finds himself entangled in a deadly conspiracy that points to collusion at the highest levels of government.","Crime & Thriller , Thriller","Waggoner, Tim",Titan Books Ltd,2017,336,599 Денари
Big Little Lies,"DISCOVER THE GRIPPING NO. 1 BESTSELLER BEHIND THE AWARD WINNING HBO SENSATION STARRING REESE WITHERSPOON, NICOLE KIDMAN & MERYL STREEP ____________ Perfect families, perfect houses, perfect lives. Three mothers, Jane, Madeline and Celeste appear to have it","Crime & Thriller , Thriller","Moriarty, Liane",Penguin Books,2017,,799 Денари
Open Season,"Don't miss the Spectrum Originals series JOE PICKETT! The first novel in the thrilling series featuring Wyoming game warden Joe Pickett from #1 New York Times bestselling author C. J. Box. Joe Pickett is the new game warden in Twelve Sleep, Wyoming, a town where nearly everyone hunts and the game warden--especially one like Joe who won't take bribes or look the other way--is far from popular. When he finds a local hunting outfitter dead, splayed out on the woodpile behind his state-owned home, he takes it personally. There had to be a reason that the outfitter, with whom he's had run-ins before, chose his backyard, his woodpile to die in. Even after the ""outfitter murders,"" as they have been dubbed by the local press after the discovery of the two more bodies, are solved, Joe continues to investigate, uneasy with the easy explanation offered by the local police. As Joe digs deeper into the murders, he soon discovers that the outfitter brought more than death to his backdoor: he brought Joe an endangered species, thought to be extinct, which is now living in his woodpile. But if word of the existence of this endangered species gets out, it will destroy any chance of InterWest, a multi-national natural gas company, building an oil pipeline that would bring the company billions of dollars across Wyoming, through the mountains and forests of Twelve Sleep. The closer Joe comes to the truth behind the outfitter murders, the endangered species and InterWest, the closer he comes to losing everything he holds dear.","Crime & Thriller , Thriller","Box, C. J.",Penguin Putnam Inc,2016,352,899 Денари
24 : Trial by Fire,"1994. Before the clock started ticking...Tateos Gadjoyan, an Armenian arms merchant, has been a target of the Central Intelligence Agency for years. Efforts to thwart his selling of American military weapons to terrorists have been unsuccessful, but finally two undercover agents have infiltrated Gadjoyan's inner circle. Soon they will have sufficient evidence to seize the arms dealer. On the small Japanese island of Okinawa, Gadjoyan's representatives are concluding a deal with Miroji Jimura, an arms dealer who's only too happy to profit from the sale of American weapons to be used against American people. When a rival of Jimura's sabotages the arms deal, the case against Tateos Gadjoyan is threatened and another far greater menace to American security is revealed. The only thing standing against this new danger is a single junior CIA agent named Jack Bauer. Working without backup, Bauer has no choice but to face this urgent new threat head-on, but the stakes are high and time is already running out...An all-new Jack Bauer adventure by New York Times bestselling author Dayton Ward","Crime & Thriller , Thriller","Ward, Dayton",Titan Books Ltd,2016,320,599 Денари
A Long Way to Shiloh,"Description The no. 1 bestseller from the author of Kolymsky Heights 'As significant as . . . le Carre in bringing a gritty new realism to the thriller.' Sunday Telegraph An ancient scroll has been discovered in Israel. Caspar Laing, a young and brilliant professor, is asked to decipher it. It contains the directions to the secret location of a priceless artefact. As he makes the treacherous journey into the desert, he is joined by dangerous rivals determined to claim the prize. He must win the race at all costs. 'Ceaselessly gripping . . . A joy to devour.' The Times 'Brilliantly entertaining.' Sunday Express","Crime & Thriller , Thriller","Davidson, Lionel",Faber & Faber,2016,288,799 Денари
Viral,"Description So far, twenty-three thousand and ninety-six people have seen me online. Su has always been the successful sister. It's Leah who is wild and often angry. But when they go to Magaluf to celebrate their exam results, Su disappears. Su is on the run, humiliated and afraid. There's an online video of her performing multiple sex acts in a nightclub. And everyone has seen it. Their mother Ruth, a prominent court judge, is furious. Can she bring justice to the men who took advantage of her daughter, and what will it take to bring Su home? 'Read it.' Stylist 'Gripping.' Tammy Cohen, author of When She Was Bad 'A real psychological roller-coaster.' Scotsman","Crime & Thriller , Thriller","Fitzgerald, Helen",Faber & Faber,2016,272,699 Денари
The Travelers,"Description The pulse-racing international thriller of the year Meet Will Rhodes: travel writer, recently married, barely solvent, his idealism rapidly giving way to disillusionment and the worry that he's living the wrong life. Then one night in Argentina a beautiful woman makes him an offer he can't refuse. Soon Will's bad choices - and dark secrets - take him across Europe, from a Bordeaux chateau to a midnight raid in Paris, from a Dublin dive-bar to a mega-yacht in the Mediterranean and an isolated cabin perched on the cliffs of Iceland. As Will is drawn further into a tangled web of international intrigue, it becomes clear that the network of deception ensnaring him is part of an immense and deadly conspiracy with terrifying global implications - and that the people closest to him may pose the greatest threat of all.","Crime & Thriller , Thriller","Pavone, Chris",Faber & Faber,2016,656,599 Денари
Gone Again,"Description 'It's just to say that no-one has come to pick Nathan up from school, and we were wondering if there was a problem of some kind?' As Mark Douglas photographs a pod of whales stranded in the waters off Edinburgh's Portobello Beach, he is called by his son's school: his wife, Lauren, hasn't turned up to collect their son. Calm at first, Mark collects Nathan and takes him home but as the hours slowly crawl by he increasingly starts to worry. With brilliantly controlled reveals, we learn some of the painful secrets of the couple's shared past, not least that it isn't the first time Lauren has disappeared. And as Mark struggles to care for his son and shield him from the truth of what's going on, the police seem dangerously short of leads. That is, until a shocking discovery...","Crime & Thriller , Thriller","Johnstone, Doug",Faber & Faber,2016,256,699 Денари
The Bone Tree,"Description From #1 New York Times bestselling author Greg Iles comes the second novel in his Natchez Burning trilogy--which also includes Natchez Burning and the upcoming Mississippi Blood--an epic trilogy of blood and race, family and justice, featuring Southern lawyer Penn Cage. Former prosecutor Penn Cage and his fiancee, reporter and publisher Caitlin Masters, have barely escaped with their lives after being attacked by wealthy businessman Brody Royal and his Double Eagles, a KKK sect with ties to some of Mississippi's most powerful men. But the real danger has only begun as FBI Special Agent John Kaiser warns Penn that Brody wasn't the true leader of the Double Eagles. The puppeteer who actually controls the terrorist group is a man far more fearsome: the chief of the state police's Criminal Investigations Bureau, Forrest Knox. The only way Penn can save his father, Dr. Tom Cage--who is fleeing a murder charge as well as corrupt cops bent on killing him--is either to make a devil's bargain with Knox or destroy him. While Penn desperately pursues both options, Caitlin uncovers the real story behind a series of unsolved civil rights murders that may hold the key to the Double Eagles' downfall. The trail leads her deep into the past, into the black backwaters of the Mississippi River, to a secret killing ground used by slave owners and the Klan for over two hundred years . . . a place of terrifying evil known only as ""the bone tree."" The Bone Tree is an explosive, action-packed thriller full of twisting intrigue and deadly secrets, a tale that explores the conflicts and casualties that result when the darkest truths of American history come to light. It puts us inside the skin of a noble man who has always fought for justice--now finally pushed beyond his limits. Just how far will Penn Cage, the hero we thought we knew, go to protect those he loves? --Kirkus Reviews","Crime & Thriller , Thriller","Iles, Greg",William Morrow & Company,2016,880,599 Денари
The Lost Girls,"Description A stunning debut novel that examines the price of loyalty, the burden of regret, the meaning of salvation, and the sacrifices we make for those we love In the summer of 1935, six-year-old Emily Evans vanishes from her family's vacation home on a remote Minnesota lake. Her disappearance destroys her mother, who spends the rest of her life at the lake house, hoping in vain that her favorite daughter will walk out of the woods. Emily's two older sisters stay, too, each keeping her own private, decades-long vigil for the lost child. Sixty years later, Lucy, the quiet and watchful middle sister, lives in the lake house alone. Before she dies, she writes the story of that devastating summer in a notebook that she leaves, along with the house, to the only person to whom it might matter: her grandniece, Justine. For Justine, the lake house offers a chance to escape her manipulative boyfriend and give her daughters the stable home she never had. But it's not the sanctuary she hoped for. The long Minnesota winter has begun. The house is cold and dilapidated, the frozen lake is silent and forbidding, and her only neighbor is a strange old man who seems to know more than he's telling about the summer of 1935. Soon Justine's troubled oldest daughter becomes obsessed with Emily's disappearance, Justine's mother arrives with designs on her inheritance, and the man she left behind launches a dangerous plan to get her back. In a house haunted by the sorrows of the women who came before her, Justine must overcome their tragic legacy if she hopes to save herself and her children.","Crime & Thriller , Thriller","Young, Heather",William Morrow & Company,2016,352,999 Денари
A Game for All the Family,"Description Pulled into a deadly game of deception, secrets, and lies, a woman must find the truth in order to defeat a mysterious opponent, protect her daughter, and save her own life in this dazzling standalone psychological thriller with an unforgettable ending from the New York Times bestselling author of Woman with a Secret and The Monogram Murders.You thought you knew who you were. A stranger knows better.You ve left the city and the career that nearly destroyed you for a fresh start on the coast. But trouble begins when your daughter withdraws, after her new best friend, George, is unfairly expelled from school.You beg the principal to reconsider, only to be told that George hasn t been expelled. Because there is, and was, no George.Who is lying? Who is real? Who is in danger? Who is in control? As you search for answers, the anonymous calls begin a stranger, who insists that you and she share a traumatic past and a guilty secret. And then the caller threatens your life. . . .This is Justine s story. This is Justine s family. This is Justine s game. But it could be yours.""","Crime & Thriller , Crime","Hannah, Sophie",William Morrow & Company,2016,464,999 Денари
The Night of Wenceslas,"Description The award-winning debut thriller from the bestselling author of Kolymsky Heights 'Quite simply the best thriller writer around.' Spectator Nicolas Whistler is young, bored and in debt. When an opportunity to make some money arises, he can't turn it down. He is sent to Prague to carry out a simple assignment, but he soon finds himself trapped between the secret police and the clutches of the mysterious Vlasta. Whether he likes it or not, Nicolas is now a spy. 'Fast-moving, exciting, often extraordinarily funny.' Sunday Times 'Brilliant. Don't miss it.' Observer","Crime & Thriller , Thriller","Davidson, Lionel",Faber & Faber,2016,256,799 Денари
The Rose of Tibet,"Description From the bestselling author of Kolymsky Heights 'I devoured it.' Anthony Horowitz With an introduction by Anthony Horowitz A filmmaker is reported dead near Mount Everest. His brother, Charles Houston, is convinced he's alive and is determined to find him. It's a dangerous expedition. He travels from India to the forbidden land of Tibet. In the Yamdring monastery, he discovers an emerald treasure guarded by a woman with a deadly secret. But the Chinese army is coming... 'I hadn't realised how much I had missed the genuine adventure story until I read The Rose of Tibet.' Graham Greene 'Thrilling . . . a perilous journey across Tibet in search of a missing brother.' Jake Kerridge, Telegraph","Crime & Thriller , Thriller","Davidson, Lionel",Faber & Faber,2016,384,699 Денари
The Dry : The Sunday Times Crime Book of the Year 2017,"Description Jane Harper's new novel, The Survivors, is now available for pre-order WINNER OF THE BRITISH BOOK AWARDS CRIME THRILLER BOOK OF THE YEAR 2018 WINNER OF THE CWA GOLD DAGGER AWARD 2017 Amazon.com's #1 Pick for Best Mystery & Thriller 2017 'One of the most stunning debuts I've ever read...Read it!' David Baldacci 'Packed with sneaky moves and teasing possibilities that keep the reader guessing...The Dry is a breathless page-turner' Janet Maslin, New York Times WHO REALLY KILLED THE HADLER FAMILY? I just can't understand how someone like him could do something like that. Amid the worst drought to ravage Australia in a century, it hasn't rained in small country town Kiewarra for two years. Tensions in the community become unbearable when three members of the Hadler family are brutally murdered. Everyone thinks Luke Hadler, who committed suicide after slaughtering his wife and six-year-old son, is guilty. Policeman Aaron Falk returns to the town of his youth for the funeral of his childhood best friend, and is unwillingly drawn into the investigation. As questions mount and suspicion spreads through the town, Falk is forced to confront the community that rejected him twenty years earlier. Because Falk and Luke Hadler shared a secret, one which Luke's death threatens to unearth. And as Falk probes deeper into the killings, secrets from his past and why he left home bubble to the surface as he questions the truth of his friend's crime. Praise for The Dry 'Spellbinding' Ian Rankin 'Riveting' Mail on Sunday 'Stunningly atmospheric' Val McDermid","Crime & Thriller , Thriller","Harper, Jane","Little, Brown Book Group",2016,432,699 Денари
The Darkest Corners,"Description ""Gripping from start to finish . . . with twists that left me shocked.""—Victoria Aveyard, #1 New York Times bestselling author of Red Queen For fans of Gillian Flynn and Pretty Little Liars, The Darkest Corners is a psychological thriller about the lies little girls tell, and the deadly truths those lies become.     There are secrets around every corner in Fayette, Pennsylvania. Tessa left when she was nine and has been trying ever since not to think about what happened there that last summer.     She and her childhood best friend Callie never talked about what they saw. Not before the trial. And certainly not after.     But ever since she left, Tessa has had questions. Things have never quite added up. And now she has to go back to Fayette—to Wyatt Stokes, sitting on death row; to Lori Cawley, Callie’s dead cousin; and to the one other person who may be hiding the truth.     Only the closer Tessa gets to what really happened, the closer she gets to a killer—and this time, it won’t be so easy to run away. And don't miss Kara's next ""eerie and masterly psychological thriller"" Little Monsters—on sale now (SLJ)!","Crime & Thriller , Thriller","Thomas, Kara",Random House Lcc Us,2016,327,899 Денари
"A Country Road, A Tree","Description From the best-selling author of Longbourn, a haunting new novel of spies and artists, passion and danger, hope in the face of despair   Paris, 1939. The pavement rumbles with the footfall of Nazi soldiers marching along the Champs-Elysees. A young, unknown writer—Samuel Beckett—recently arrived from Ireland to make his mark, smokes one last cigarette with his lover before the city they know is torn apart. Soon he will put them both in mortal danger by joining the Resistance . . . Through it all we are witness to the workings of a uniquely brilliant mind struggling to create a language that will express this shattered world. Here is a remarkable story of survival and determination, and a portrait of the extremes of human experience alchemized into one man’s timeless art. From the Hardcover edition.","Crime & Thriller , Thriller","Baker, Jo",Random House Lcc Us,2016,289,1.199 Денари
The Defence : Win the trial. Or lose his life.,"Everything a great thriller should be and I can't wait to see more of Eddie Flynn.' Mark Billingham 'So Hollywood, punchy and cool and pacy as hell.' Eva Dolan Eddie Flynn has 48 hours to save his daughter... Eddie Flynn used to be a con artist. Then he became a lawyer. Turned out the two weren't that different. It's been over a year since Eddie vowed never to set foot in a courtroom again. But now he doesn't have a choice. Olek Volchek, the infamous head of the Russian mafia in New York, has strapped a bomb to Eddie's back and kidnapped his ten-year-old daughter, Amy. Eddie only has forty-eight hours to defend Volchek in an impossible murder trial - and win - if he wants to save his daughter. Under the scrutiny of the media and the FBI, Eddie must use his razor-sharp wit and every con-artist trick in the book to defend his 'client' and ensure Amy's safety. With the timer on his back ticking away, can Eddie convince the jury of the impossible? Praise for race-against-time legal thriller writer, Steve Cavanagh: 'A gripping, twisty thriller' Ian Rankin, number 1 bestselling author of Rather Be The Devil 'Legal thrillers are my blind spot, but I'll always make an exception for Steve Cavanagh. Quite simply, THE PLEA is one of the most purely entertaining books you'll read this year. It's a blast.' John Connolly, bestselling author of the Charlie Parker series 'In the crowded field of legal thrillers, Steve Cavanagh stands head and shoulders above the competition, with his skilfully plotted, action-packed and big-hearted Eddie Flynn novels . . . highly intelligent, twist-laden and absolutely unputdownable' Eva Dolan, author of the critically acclaimed Tell No Tales 'A cleverly constructed legal thriller combined with a classic locked-room mystery. Eddie Flynn is fast becoming one of my favourite fictional heroes and Cavanagh one of my favourite thriller writers.' S.J.I. Holliday, author of Black Wood 'Raymond Chandler could have created Eddie Flynn. THE PLEA is Phillip Marlowe and Michael Connolly's Mickey Haller combined, with a bit of Jim Thompson's THE GRIFTERS thrown in. A superb read with a main character destined to be one of the most talked about in crime fiction.' Howard Linskey, author of The Search If you like John Grisham, Lee Child and Michael Connelly, you will LOVE the gripping and twisty Eddie Flynn series: 1. The Defence 2. The Plea 3. The Liar * Each Eddie Flynn thriller can be read as a standalone or in series order *","Crime & Thriller , Thriller","Cavanagh, Steve",Orion Publishing Co,2016,320,699 Денари
Beware That Girl,"Description For fans of We Were Liars, Gone Girl, and The Girl on the Train comes a powerful psychological thriller with a gripping pace and Hitchcockian twists. Set against the backdrop of New York City, this compelling novel delves into the dysfunctional yet mesmerizing world of the mega-wealthy elite and will keep readers guessing until the very last page.   The Haves. The Have-Nots. Kate O’Brien appears to be a Have-Not. Her whole life has been a series of setbacks she’s had to snake her way out of—some more sinister than others. But she’s determined to change all that. She’s book-smart. She’s street-smart. And she’s also a masterful liar. As the scholarship student at the elite Waverly School in NYC, Kate has her work cut out for her: her plan is to climb the social ranks and land a spot at Yale. She’s already found her “people” among the senior-class “it” girls—specifically in the cosseted, mega-wealthy yet deeply damaged Olivia Sumner. As for Olivia, she considers Kate the best friend she’s always needed, the sister she never had.   When the handsome and whip-smart Mark Redkin joins the Waverly administration as head of fund-raising, he immediately charms his way into the faculty’s and students’ lives, becoming especially close to Olivia, a fact she’s intent on keeping to herself. It becomes increasingly obvious that Redkin poses a threat to Kate, too, in a way she can’t reveal—and can’t afford to ignore. Mark has his own plan for a bright future and never doubts that he can pull it off. How close can Kate and Olivia get to him without having to share their dark pasts?   “Combines a Gossip Girl milieu with the unsettled psychological terrain of Gone Girl.” —PW   “It’s smart, dark, entertaining, and unpredictable.” —Quill & Quire, Starred From the Hardcover edition.","Crime & Thriller , Thriller","Toten, Teresa",Penguin Lcc Us,2016,319,899 Денари
Escape Clause,"Description Whenever you hear the sky rumble, that usually means a storm. In Virgil Flowers’ case, make that two. The exceptional new thriller from the writer whose books are “pure reading pleasure” (Booklist).   The first storm comes from, of all places, the Minnesota zoo. Two large, and very rare, Amur tigers have vanished from their cage, and authorities are worried sick that they’ve been stolen for their body parts. Traditional Chinese medicine prizes those parts for home remedies, and people will do extreme things to get what they need. Some of them are a great deal more extreme than others—as Virgil is about to find out. Then there’s the homefront. Virgil’s relationship with his girlfriend Frankie has been getting kind of serious, but when Frankie’s sister Sparkle moves in for the summer, the situation gets a lot more complicated. For one thing, her research into migrant workers is about to bring her up against some very violent people who emphatically do not want to be researched. For another…she thinks Virgil’s kind of cute.      “You mess around with Sparkle,” Frankie told Virgil, “you could get yourself stabbed.”      “She carries a knife?”      “No, but I do.” Forget a storm—this one’s a tornado.","Crime & Thriller , Thriller","Sandford, John",Penguin Publishing Group,2016,400,999 Денари
Obsession,"Description The riveting novel from the #1 New York Times bestselling author of The Liar.   “She stood in the deep, dark woods, breath shallow and cold prickling over her skin despite the hot, heavy air. She took a step back, then two, as the urge to run fell over her.”   Naomi Bowes lost her innocence the night she followed her father into the woods. In freeing the girl trapped in the root cellar, Naomi revealed the horrible extent of her father’s crimes and made him infamous. No matter how close she gets to happiness, she can’t outrun the sins of Thomas David Bowes.   Now a successful photographer living under the name Naomi Carson, she has found a place that calls to her, a rambling old house in need of repair, thousands of miles away from everything she’s ever known. Naomi wants to embrace the solitude, but the kindly residents of Sunrise Cove keep forcing her to open up—especially the determined Xander Keaton.   Naomi can feel her defenses failing, and knows that the connection her new life offers is something she’s always secretly craved. But the sins of her father can become an obsession, and, as she’s learned time and again, her past is never more than a nightmare away.","Crime & Thriller , Thriller","Roberts, Nora",Penguin Publishing Group,2016,464,999 Денари
Fall of Man in Wilmslow,"Description A powerful tale of honour, prejudice and the twentieth century's most maltreated hero, by the acclaimed author of THE GIRL IN THE SPIDER'S WEB. June 8, 1954. Alan Turing, the visionary mathematician, is found dead at his home in sleepy Wilmslow, dispatched by a poisoned apple. Taking the case, Detective Constable Leonard Corell quickly learns Turing is a convicted homosexual. Confident it's a suicide, he is nonetheless confounded by official secrecy over Turing's war record. What is more, Turing's sexuality appears to be causing alarm among the intelligence services - could he have been blackmailed by Soviet spies? Stumbling across evidence of Turing's genius, and sensing an escape from a narrow life, Corell soon becomes captivated by Turing's brilliant and revolutionary work, and begins to dig deeper. But in the febrile atmosphere of the Cold War, loose cannons cannot be tolerated. As his innocent curiosity takes him far out of his depth, Corell realises he has much to learn about the dangers of forbidden knowledge.","Crime & Thriller , Thriller","Lagercrantz, David",Quercus Publishing,2016,368,799 Денари
"Breakdown (Alex Delaware series, Book 31) : A thrillingly suspenseful psychological crime novel","Description Criminal psychologist Dr. Alex Delaware is pushed to his limit like never before in Breakdown by New York Times No.1 bestseller Jonathan Kellerman. Fans of Michael Connelly and Harlan Coben will love this sabre-sharp storytelling from the master of psychological suspense. Dr. Alex Delaware first meets beautiful and emotionally fragile actress Zelda Chase when called upon to evaluate her five-year-old son. Years later, Alex is unexpectedly reunited with Zelda when she is involuntarily committed after a bizarre psychotic episode. But tragedy strikes and shortly after her release, Zelda is discovered dead in the grounds of a palatial L.A. estate. Having experienced more than enough of the city's dark side to recognise the scent of evil, Alex turns to his friend, LAPD Lieutenant Milo Sturgis, for help in finding the perpetrator. Meanwhile, Alex is caught up in another quest: the search for Zelda's missing son. And when other victims vanish from the same upscale neighborhood, worry turns to terror. As Alex struggles to piece together the brief rise and steep fall of a gorgeous, talented actress, he and Milo unveil shattered dreams, the corruption of a family, and a grotesque betrayal of innocence. With each devastating revelation and damning clue, Alex's brilliant mind is challenged as never before - and his determination grows to see a killer caged and the truth set free.","Crime & Thriller , Thriller","Kellerman, Jonathan",Headline Publishing Group,2016,384,799 Денари
The Templar Succession,"Description 1998. Kosovo is in the grip of civil war, and John Hart is an aspiring photojournalist determined to capture the devastating scenes. On his mission to shed light on the atrocities he discovers a house where women are enslaved purely for the pleasure of the Serbian soldiers. Hart risks his own life to free the imprisoned women. 2015. John Hart has his world turned upside down when he is left to care for a young woman - the daughter of one of the women he freed that fateful day in Kosovo. She is determined to track down the man known as the Captain: a war criminal, and her father. Unable to turn his back on the girl, Hart sets out to find the Captain. His quest takes him across Europe and into Africa where, on an isolated plateau in the mountains of Ethiopia, he confronts the man who shows no remorse, and no regard for life...","Crime & Thriller , Thriller","Reading, Mario",Atlantic Books,2016,464,599 Денари
